ux,uy
2.757947051253580007e-04,1.044449561122565498e-02
-6.584475260776673049e-03,9.303994500448884916e-03
0.000000000000000000e+00,-3.571743700518425005e-03
-7.434431241523076737e-03,-6.594457707083228523e-03
-1.489146555257601749e-02,-3.479779078199903269e-03
2.047481078766198379e-02,-1.721670439263707671e-03
-2.349534190558553656e-03,-8.189818936026039414e-03
4.845006215684575027e-03,-1.118127131219988878e-02
-2.147248768034130950e-02,-2.297097438881985122e-03
3.019198012420346022e-02,1.348170828372356484e-03
-2.461626925744449593e-02,-1.164517546270949595e-03
3.172261225343150394e-03,-8.919429491296449256e-03
-1.789922408389824082e-02,-3.312238664940282424e-03
-1.670196331121596295e-02,7.187775602117731956e-03
-1.547717577173941469e-02,-4.176636459997147208e-03
1.291624902632244713e-02,-5.999042463481078823e-04
-3.885866451801183244e-03,-7.832133378202515983e-03
-4.231143830441649184e-03,-7.338414661565957967e-03
-2.228962795665593005e-03,5.736264113999664342e-03
1.937261956882314895e-02,0.000000000000000000e+00
-6.888775081449961986e-03,-6.753621546811206140e-03
3.234053216009297183e-02,-7.613679766012309722e-04
-7.971194723835475088e-03,-5.526257866443895495e-03
8.814344911834321589e-03,4.473050796382471370e-03
-1.798518817180730020e-02,-3.285118565548143538e-03
3.002124550635255906e-02,-2.662910509007405772e-03
-2.728231564645823559e-02,2.374536736569705410e-03
-1.352788569283687806e-02,-4.567213751452707873e-03
-3.270811290202671473e-02,-1.949224849620200201e-04
1.200756419239230183e-02,-9.385983434464145736e-03
-6.215083208150796665e-03,-6.970704397393352909e-03
-1.707522771600696390e-02,-3.133206476638627364e-03
-2.932659361490252276e-02,7.798423122719004954e-04
1.488684351791142411e-02,6.956096159057064549e-03
-1.534933177684493985e-02,-3.921164498625744413e-03
1.703234796648876032e-02,-3.140003999410062238e-03
1.523339002525640230e-02,-1.010278836072755386e-03
-1.884037178419297257e-02,3.226657860239902711e-03
-8.269178140158123247e-03,-6.059288443044257011e-03
-2.500491979918987727e-04,-9.205426444357381680e-03
-2.394932342402700254e-02,-1.033044903555878878e-03
-2.273385399097813814e-02,0.000000000000000000e+00
3.404808171993876226e-02,-2.383523950390757217e-04
4.812161729837219869e-03,-1.080140197288569776e-02
9.258832162719287523e-03,8.438237842364665342e-03
-3.854795355001508494e-03,-6.002753722102658479e-03
2.314948401047606588e-02,-4.734364345636577973e-03
-1.416880927106015358e-03,9.804731444090121137e-03
3.942793761564798716e-02,0.000000000000000000e+00
-9.918193011691937844e-03,-5.190066426709819512e-03
2.876194896834213463e-02,0.000000000000000000e+00
-3.629738138429598054e-02,3.458431859316529701e-04
0.000000000000000000e+00,1.007909094758128662e-02
-1.239396038782503498e-02,2.712354366248886841e-03
9.606114967635710289e-04,-9.765691421191453198e-03
-1.116121069824230379e-02,4.114560313645129579e-03
1.817173752975793227e-02,9.624110613826419554e-04
-2.091530447916491869e-02,7.085915937826796612e-04
-2.319944624127701083e-02,5.204412906605671886e-03
2.959369553900249167e-02,7.372515513475950402e-04
6.495481886090357336e-03,-3.560889240352430041e-03
-3.075143731370440919e-02,0.000000000000000000e+00
-3.243040066850409742e-03,-6.641543765252664808e-03
-2.740142825067222801e-02,7.724708143797344743e-04
0.000000000000000000e+00,-5.804408232956939813e-03
-2.424479448981748178e-02,-1.205978070174524306e-03
-7.884977887602707958e-03,-6.379336892388606794e-03
-1.823042571264700887e-02,6.496825095457783514e-03
-3.524162493394772389e-02,3.041130184210766489e-05
1.061072245149527341e-03,1.034070161024236607e-02
2.101991038279233531e-02,7.334068477185677918e-04
-2.231449806958916982e-02,5.527413846290085871e-03
9.756044757635966291e-03,-9.498633796485104683e-03
-8.252154198834498605e-03,6.336926280981106108e-03
1.082773992730371067e-02,2.456382425382711270e-03
-3.711106908389181364e-02,9.526545330259680259e-04
1.652837016528169514e-02,-3.624343978450796869e-03
-3.935491000717988158e-02,2.225614400245053571e-04
-1.664989584071056156e-02,-3.071089362420554008e-03
-2.452089300764178151e-02,0.000000000000000000e+00
1.686109059261818241e-02,6.149252009017379741e-03
8.915973536949187150e-03,6.848720945198310227e-03
-3.137838859552279092e-02,2.219232573972564158e-03
1.075144362049140767e-02,-9.145046596857119708e-03
2.438821736043445335e-02,1.332650179844707813e-03
9.054749309040080810e-03,7.559608829614971985e-03
-5.097686312116504227e-03,-7.431955062732979039e-03
-1.974368543187843619e-02,0.000000000000000000e+00
-1.946607317915639715e-03,1.002654955472275823e-02
-2.207790500902071656e-02,-1.185515124696784849e-03
-1.787311548272919231e-03,-8.521601461814510420e-03
2.275977788777520938e-02,2.291339462978168699e-03
-1.834276110358574324e-02,2.519973517172881348e-03
5.373546594941817044e-03,6.473151900400767739e-03
9.376996058297483450e-03,2.532796518042967817e-03
-2.341523705820235460e-03,-7.814860949256754660e-03
1.191704119886163177e-02,7.957612832040149645e-03
2.828720918426862185e-02,0.000000000000000000e+00
2.973093473503015879e-02,-2.864902812357566532e-03
-2.067816392632442662e-04,1.046458263127483627e-02
-1.654696816211316535e-02,-6.445569824326472918e-04
8.061285817324907038e-03,6.494198005838332927e-03
-1.584777637541579659e-02,-3.850144550017965423e-03
3.770886041858524662e-02,0.000000000000000000e+00
-2.471028016293246032e-02,3.616560748499815514e-03
-2.092386691915108787e-02,0.000000000000000000e+00
-2.669230723913970302e-02,-7.592141530560532090e-04
-1.600595213295276723e-02,-9.590362673241420140e-04
7.616006612397032208e-03,-8.785709433253316089e-03
0.000000000000000000e+00,1.022598432631176280e-02
-1.132225654873849491e-02,-4.993795285957923664e-03
2.964326237248108425e-02,-8.125579948293154900e-04
7.389915129566839401e-03,-4.402231713685408020e-03
-8.017759827539020986e-03,-6.043186872688662524e-03
0.000000000000000000e+00,1.048294958965863451e-02
-1.861062570871443306e-02,-3.153959232412421355e-03
-2.833697108210663992e-02,-7.401898868091631419e-04
-1.949744239815475941e-02,2.156204240802347353e-03
-1.583243075099560748e-02,3.412760449262431869e-03
1.482653934277429822e-02,4.623187451128854715e-03
3.045224683322316720e-03,-1.080188219040640468e-02
1.359218367090405701e-02,6.485556706688896597e-03
-3.920322069357719957e-02,1.852703841107449943e-04
1.168251094435386736e-03,1.045096119958288140e-02
-7.975440984504516412e-03,-6.016136649376956774e-03
-1.222478157376108605e-02,6.070309464618035312e-03
1.780329610054053741e-02,0.000000000000000000e+00
1.432805973986000375e-02,1.584791625994248733e-03
-1.077941464333092431e-02,-5.816976650145854431e-03
2.301654407677979769e-02,-3.390470689739939671e-03
-1.563321242707435901e-02,-1.789396020194781349e-03
-3.681638862569000265e-03,1.004666624320861741e-02
2.462079190095655887e-02,2.938230543323357667e-03
3.347289233499530642e-02,1.787508879990430937e-04
-2.264794706365617569e-02,-4.940992613084216377e-04
2.899660283459414359e-02,-2.482315175360602904e-03
2.402087323488776710e-02,-2.510392981390894510e-03
9.204107802129121371e-03,-9.171884302578703352e-03
-1.859309005211606802e-02,0.000000000000000000e+00
0.000000000000000000e+00,-7.085426171543873428e-03
9.749669415945669271e-03,3.451836649436270180e-03
4.822765819029255566e-03,-1.087143978162327662e-02
-2.246160131031064294e-02,-9.273695372535410708e-04
6.357624998403027007e-03,5.076804337434005082e-03
1.325918290150916376e-02,4.858805785641472780e-03
5.898661821410896254e-03,-6.638486608663798916e-03
3.361838617048656247e-02,7.092924460337557044e-05
2.356864530084870971e-02,-5.607665662504255841e-03
-6.947810216025285777e-03,-6.852496471972661929e-03
-3.158919047511985628e-02,-2.771672853105059450e-04
-1.106584648003881149e-02,8.814440613695741569e-03
-2.562724771823782569e-02,-1.170674948842379904e-03
-8.699415155261198268e-03,-5.181348904438280029e-03
-3.556181346325341247e-02,5.497901718924688794e-04
1.802118798597991895e-03,-7.683043365310220953e-03
-1.182184424422920085e-02,-2.816780351683129732e-03
3.066807174524157839e-02,-8.886223537030475813e-04
-1.371857661518208031e-03,1.021526965981665869e-02
2.508074500054393620e-03,7.044693203968644367e-03
2.923628235164036845e-02,-1.064391849896751373e-04
3.450496045747458718e-02,-1.297132415143122022e-03
3.359403445162124219e-02,0.000000000000000000e+00
1.988181975668171925e-02,1.794526569287233954e-03
0.000000000000000000e+00,-9.189175478695887564e-03
2.012657513815157076e-02,1.479342440753117407e-03
-3.987657129995050669e-03,-6.011096507273778165e-03
-9.682077094516208099e-03,9.138310324978287519e-03
-9.888210363850753054e-03,5.814497133323728861e-03
-1.302375044801357823e-02,6.729973080999894497e-03
0.000000000000000000e+00,-2.384327418387489959e-04
3.560229813213540428e-02,0.000000000000000000e+00
-6.803319013149538262e-03,-4.521804957670441140e-03
-3.409523760727326425e-03,-6.984577918127565788e-03
8.982338747325055439e-03,8.799724618716822655e-03
-2.143414038154307574e-03,-8.348745892194262344e-03
3.352114404942534848e-02,1.073560563886115740e-04
5.023869415927958992e-03,8.778741372489398329e-03
3.598764815471141437e-02,0.000000000000000000e+00
3.531937170945156912e-02,-4.626033495055281047e-04
-1.534601075863909446e-02,7.356864046954551643e-03
-1.670526697828342635e-02,6.930093211487535834e-03
2.010738646478629765e-02,2.642913793941421060e-03
-6.925120611054084822e-03,-2.778331191286427873e-03
1.546613615728989477e-02,-7.773635969572319226e-03
3.745408254225624650e-02,0.000000000000000000e+00
-5.030498448208912260e-03,-6.276985525378490395e-03
8.681560836836675968e-03,8.537657262698734872e-03
2.018234948331087616e-02,4.535960265085006368e-03
-1.990957981171861263e-02,-5.883018865347026949e-04
-1.649891536723328139e-02,-2.906979710680902655e-03
-9.796457103639686845e-03,8.991405296512043274e-03
8.789298783130969003e-03,-8.321861721584507265e-03
2.571612546606122374e-02,-4.488328383945519237e-03
1.218262842641683504e-02,-1.316522370396456436e-03
-3.249664835744583979e-02,3.135776379250794564e-04
-8.097750484129608711e-03,6.635176339834304368e-03
1.743524801041941227e-02,0.000000000000000000e+00
-3.270257295773765921e-02,2.004986144746298115e-03
3.988818599996304254e-03,1.005401269482045744e-02
2.709577684608661594e-02,0.000000000000000000e+00
2.335651455196580129e-02,2.087951702465700408e-03
1.400024166848581712e-02,-1.600565678981063838e-03
